Aba Boost 1,Aba Boost 2,Aba Boost 3,Aba Boost 4
97381,61571,170561,25836
98572,63118,181684,24450
106209,56457,183729,11384
107535,54659,170855,7033
108722,52702,156634,1776
85986,-3270,188928,-22453
84798,-5330,188936,-20401
102328,64152,157082,23055
101818,65218,168592,23350
102793,66823,179175,22382
111128,59508,179234,11169
112970,57428,166264,7672
122954,58904,140270,-3497
82947,87617,199375,42324
83095,70835,195807,35968
153389,79163,148499,9605
155067,77839,145273,5073
172677,36949,115701,-14647
171953,42093,118985,-16408
156407,35309,122129,-13997
152561,27449,125907,-20382
104473,-11397,171451,-64976
82997,116403,205259,57492
83711,104299,202881,52266
85084,88670,199228,46483
85922,71650,195570,39871
86658,55526,193128,34615
88269,44147,191369,34392
149875,84861,167033,13473
154919,82501,157037,10936
159487,80263,148061,6712
161181,79159,145189,1150
160744,77056,146464,-4975
158970,76624,151216,-8148
173153,39731,115047,-4795
175574,36286,113588,-9588
175071,36169,116753,-13284
174018,41536,119866,-15671
169623,46683,124823,-16842
162884,50460,130840,-13690
156817,53277,134733,-7141
159804,51940,127452,2259
160538,44114,123460,-4653
158941,32941,123215,-14026
154782,24666,127010,-20522
149691,18287,131567,-25373
144213,13603,135899,-28852
113339,3317,166787,-58134
108468,-3542,168336,-63327
104265,-13367,169331,-67940
101174,-27044,169244,-70753
100331,-35819,167977,-69711
82188,124276,205728,63626
82982,117824,204846,60295
84167,105483,202583,55184
86076,89550,199032,49409
87514,72306,195414,42585
88766,55982,192874,37034
90787,44527,191021,36537
146946,84268,177012,8709
152443,86147,167611,11616
157665,83685,157845,9001
162414,81404,149158,4457
164218,80374,146468,-1758
163870,78374,147588,-8613
162372,78006,151946,-12147
160815,80605,161497,-12540
170115,41251,118457,1349
173539,37853,114627,-1870
175833,34423,113231,-6784
175137,34403,116335,-10869
173919,39995,119237,-13940
169308,45326,123976,-15883
162326,49082,129782,-13266
156292,51782,133478,-6779
158746,52408,130868,6396
160389,49389,127055,3628
